date,roi,no2_tropos_col_mol_m2,n_valid_days,sensor
2004-10-01,cochabamba,8.630335243760961e-06,21,OMI
2004-11-01,cochabamba,,8,OMI
2004-12-01,cochabamba,,14,OMI
2005-01-01,cochabamba,7.741599768052857e-06,15,OMI
2005-02-01,cochabamba,,8,OMI
2005-03-01,cochabamba,7.949872348670801e-06,20,OMI
2005-04-01,cochabamba,1.3575378672095057e-05,18,OMI
2005-05-01,cochabamba,1.0707095905331402e-05,27,OMI
2005-06-01,cochabamba,1.1130555836889262e-05,28,OMI
2005-07-01,cochabamba,1.2683351313719252e-05,27,OMI
2005-08-01,cochabamba,9.559683892194748e-06,30,OMI
2005-09-01,cochabamba,1.189987018057014e-05,18,OMI
2005-10-01,cochabamba,,14,OMI
2005-11-01,cochabamba,,11,OMI
2005-12-01,cochabamba,1.0465021052170082e-05,19,OMI
2006-01-01,cochabamba,,7,OMI
2006-02-01,cochabamba,,13,OMI
2006-03-01,cochabamba,8.385111860744609e-06,19,OMI
2006-04-01,cochabamba,7.215988032060575e-06,18,OMI
2006-05-01,cochabamba,1.2555830838120305e-05,25,OMI
2006-06-01,cochabamba,1.4625528327885247e-05,27,OMI
2006-07-01,cochabamba,1.666787881584562e-05,27,OMI
2006-08-01,cochabamba,1.591197570692992e-05,26,OMI
2006-09-01,cochabamba,1.0372602998256272e-05,21,OMI
2006-10-01,cochabamba,1.3104340502729531e-05,16,OMI
2006-11-01,cochabamba,,13,OMI
2006-12-01,cochabamba,7.842782941588517e-06,15,OMI
2007-01-01,cochabamba,,11,OMI
2007-02-01,cochabamba,,11,OMI
2007-03-01,cochabamba,9.55377132938099e-06,15,OMI
2007-04-01,cochabamba,1.0324098142155935e-05,22,OMI
2007-05-01,cochabamba,1.4636553868765402e-05,21,OMI
2007-06-01,cochabamba,1.3340965419381353e-05,24,OMI
2007-07-01,cochabamba,1.3854274950619255e-05,25,OMI
2007-08-01,cochabamba,1.3422005113679438e-05,28,OMI
2007-09-01,cochabamba,1.0281269729641219e-05,20,OMI
2007-10-01,cochabamba,6.57774380913483e-06,17,OMI
2007-11-01,cochabamba,9.64233047461366e-06,15,OMI
2007-12-01,cochabamba,,11,OMI
2008-01-01,cochabamba,,5,OMI
2008-02-01,cochabamba,,12,OMI
2008-03-01,cochabamba,8.30419872455329e-06,17,OMI
2008-04-01,cochabamba,1.3789587848265796e-05,24,OMI
2008-05-01,cochabamba,1.3034095879231535e-05,30,OMI
2008-06-01,cochabamba,1.2578496458703936e-05,27,OMI
2008-07-01,cochabamba,1.736774683298323e-05,29,OMI
2008-08-01,cochabamba,1.1822053299551719e-05,27,OMI
2008-09-01,cochabamba,9.019168257693891e-06,21,OMI
2008-10-01,cochabamba,1.2049926248429606e-05,19,OMI
2008-11-01,cochabamba,1.45111155169699e-05,17,OMI
2008-12-01,cochabamba,,10,OMI
2009-01-01,cochabamba,,12,OMI
2009-02-01,cochabamba,,10,OMI
2009-03-01,cochabamba,,13,OMI
2009-04-01,cochabamba,1.0235084994800536e-05,15,OMI
2009-05-01,cochabamba,1.7715320936269482e-05,22,OMI
2009-06-01,cochabamba,1.884201252553768e-05,22,OMI
2009-07-01,cochabamba,1.575688808860036e-05,20,OMI
2009-08-01,cochabamba,1.746345316969022e-05,22,OMI
2009-09-01,cochabamba,1.1864246514781373e-05,17,OMI
2009-10-01,cochabamba,,13,OMI
2009-11-01,cochabamba,,12,OMI
2009-12-01,cochabamba,,5,OMI
2010-01-01,cochabamba,,6,OMI
2010-02-01,cochabamba,,10,OMI
2010-03-01,cochabamba,,13,OMI
2010-04-01,cochabamba,,14,OMI
2010-05-01,cochabamba,1.6797634771223647e-05,16,OMI
2010-06-01,cochabamba,1.4845683737821075e-05,22,OMI
2010-07-01,cochabamba,1.6595752347132896e-05,22,OMI
2010-08-01,cochabamba,1.6819458933373007e-05,19,OMI
2010-09-01,cochabamba,1.3868404693564389e-05,17,OMI
2010-10-01,cochabamba,,12,OMI
2010-11-01,cochabamba,,12,OMI
2010-12-01,cochabamba,,10,OMI
2011-01-01,cochabamba,,8,OMI
2011-02-01,cochabamba,,5,OMI
2011-03-01,cochabamba,,13,OMI
2011-04-01,cochabamba,1.7923451131960684e-05,17,OMI
2011-05-01,cochabamba,1.4193913830882667e-05,21,OMI
2011-06-01,cochabamba,1.873718922967485e-05,20,OMI
2011-07-01,cochabamba,,14,OMI
2011-08-01,cochabamba,1.717305894621864e-05,15,OMI
2011-09-01,cochabamba,,14,OMI
2011-10-01,cochabamba,,14,OMI
2011-11-01,cochabamba,,10,OMI
2011-12-01,cochabamba,,7,OMI
2012-01-01,cochabamba,,10,OMI
2012-02-01,cochabamba,,8,OMI
2012-03-01,cochabamba,,13,OMI
2012-04-01,cochabamba,,13,OMI
2012-05-01,cochabamba,1.1964330059482828e-05,23,OMI
2012-06-01,cochabamba,1.7587282993107056e-05,24,OMI
2012-07-01,cochabamba,1.8885017531236506e-05,23,OMI
2012-08-01,cochabamba,1.884352997665031e-05,23,OMI
2012-09-01,cochabamba,1.35557582065359e-05,21,OMI
2012-10-01,cochabamba,1.5148803144322386e-05,16,OMI
2012-11-01,cochabamba,,5,OMI
2012-12-01,cochabamba,,6,OMI
2013-01-01,cochabamba,,4,OMI
2013-02-01,cochabamba,,8,OMI
2013-03-01,cochabamba,,14,OMI
2013-04-01,cochabamba,1.976151697544117e-05,19,OMI
2013-05-01,cochabamba,1.3484102869815054e-05,21,OMI
2013-06-01,cochabamba,1.926705008061055e-05,20,OMI
2013-07-01,cochabamba,1.9088745528195413e-05,24,OMI
2013-08-01,cochabamba,1.4958501964483258e-05,22,OMI
2013-09-01,cochabamba,1.686457197737796e-05,18,OMI
2013-10-01,cochabamba,,11,OMI
2013-11-01,cochabamba,1.760896984359369e-05,15,OMI
2013-12-01,cochabamba,,10,OMI
2014-01-01,cochabamba,,9,OMI
2014-02-01,cochabamba,,9,OMI
2014-03-01,cochabamba,1.5368306328373023e-05,15,OMI
2014-04-01,cochabamba,2.029971098971809e-05,18,OMI
2014-05-01,cochabamba,1.5812816045614397e-05,20,OMI
2014-06-01,cochabamba,1.9350043431627502e-05,22,OMI
2014-07-01,cochabamba,1.954373439820637e-05,22,OMI
2014-08-01,cochabamba,2.9131874117274727e-05,18,OMI
2014-09-01,cochabamba,,11,OMI
2014-10-01,cochabamba,,12,OMI
2014-11-01,cochabamba,,12,OMI
2014-12-01,cochabamba,,12,OMI
2015-01-01,cochabamba,,6,OMI
2015-02-01,cochabamba,,11,OMI
2015-03-01,cochabamba,,13,OMI
2015-04-01,cochabamba,,8,OMI
2015-05-01,cochabamba,1.779476964938446e-05,18,OMI
2015-06-01,cochabamba,1.8856912677382817e-05,21,OMI
2015-07-01,cochabamba,1.7151756057341976e-05,21,OMI
2015-08-01,cochabamba,2.5944313452295408e-05,20,OMI
2015-09-01,cochabamba,1.7676526730049922e-05,17,OMI
2015-10-01,cochabamba,,14,OMI
2015-11-01,cochabamba,,11,OMI
2015-12-01,cochabamba,,11,OMI
2016-01-01,cochabamba,,8,OMI
2016-02-01,cochabamba,,6,OMI
2016-03-01,cochabamba,1.349652578603828e-05,20,OMI
2016-04-01,cochabamba,,14,OMI
2016-05-01,cochabamba,1.894939733002508e-05,21,OMI
2016-06-01,cochabamba,,13,OMI
2016-07-01,cochabamba,2.4282103413084064e-05,22,OMI
2016-08-01,cochabamba,2.264938833355645e-05,23,OMI
2016-09-01,cochabamba,1.758505808594165e-05,16,OMI
2016-10-01,cochabamba,,12,OMI
2016-11-01,cochabamba,,12,OMI
2016-12-01,cochabamba,,14,OMI
2017-01-01,cochabamba,,12,OMI
2017-02-01,cochabamba,,7,OMI
2017-03-01,cochabamba,,6,OMI
2017-04-01,cochabamba,1.4563246031079859e-05,15,OMI
2017-05-01,cochabamba,2.1718942747862812e-05,18,OMI
2017-06-01,cochabamba,2.4236607086493265e-05,22,OMI
2017-07-01,cochabamba,2.5733357206113e-05,24,OMI
2017-08-01,cochabamba,2.7073251456048857e-05,22,OMI
2017-09-01,cochabamba,1.8670323069761792e-05,16,OMI
2017-10-01,cochabamba,1.8005698180344675e-05,19,OMI
2017-11-01,cochabamba,,11,OMI
2017-12-01,cochabamba,,10,OMI
2018-01-01,cochabamba,,3,OMI
2018-02-01,cochabamba,,9,OMI
2018-03-01,cochabamba,1.2306952284744014e-05,15,OMI
2018-04-01,cochabamba,1.9105543940624914e-05,20,OMI
2018-05-01,cochabamba,1.808003618169466e-05,22,OMI
2018-06-01,cochabamba,1.8929276057817215e-05,19,OMI
2004-10-01,la_paz_el_alto,5.989021247434215e-06,26,OMI
2004-11-01,la_paz_el_alto,,12,OMI
2004-12-01,la_paz_el_alto,7.653279507141496e-06,18,OMI
2005-01-01,la_paz_el_alto,,11,OMI
2005-02-01,la_paz_el_alto,,13,OMI
2005-03-01,la_paz_el_alto,8.52145368526646e-06,20,OMI
2005-04-01,la_paz_el_alto,1.1178181498191617e-05,16,OMI
2005-05-01,la_paz_el_alto,1.1166301043037235e-05,29,OMI
2005-06-01,la_paz_el_alto,8.952699260642398e-06,29,OMI
2005-07-01,la_paz_el_alto,8.971078523306824e-06,28,OMI
2005-08-01,la_paz_el_alto,9.895650249840027e-06,30,OMI
2005-09-01,la_paz_el_alto,6.721180034977109e-06,21,OMI
2005-10-01,la_paz_el_alto,7.598484701451018e-06,17,OMI
2005-11-01,la_paz_el_alto,9.004631690939884e-06,16,OMI
2005-12-01,la_paz_el_alto,6.749481610107944e-06,19,OMI
2006-01-01,la_paz_el_alto,,12,OMI
2006-02-01,la_paz_el_alto,9.436518738015373e-06,15,OMI
2006-03-01,la_paz_el_alto,1.3499801550045203e-05,16,OMI
2006-04-01,la_paz_el_alto,1.0715149043122135e-05,25,OMI
2006-05-01,la_paz_el_alto,9.481462038878069e-06,29,OMI
2006-06-01,la_paz_el_alto,9.320629855756451e-06,29,OMI
2006-07-01,la_paz_el_alto,1.0486171692063723e-05,29,OMI
2006-08-01,la_paz_el_alto,9.284708230936167e-06,26,OMI
2006-09-01,la_paz_el_alto,8.456434528258353e-06,24,OMI
2006-10-01,la_paz_el_alto,1.0813771180199324e-05,23,OMI
2006-11-01,la_paz_el_alto,9.067993511738578e-06,22,OMI
2006-12-01,la_paz_el_alto,1.1102441536567296e-05,18,OMI
2007-01-01,la_paz_el_alto,1.1135637262912025e-05,15,OMI
2007-02-01,la_paz_el_alto,,12,OMI
2007-03-01,la_paz_el_alto,8.60900556086238e-06,16,OMI
2007-04-01,la_paz_el_alto,1.2235881364865394e-05,20,OMI
2007-05-01,la_paz_el_alto,1.2336667122876012e-05,25,OMI
2007-06-01,la_paz_el_alto,1.2021853413531931e-05,28,OMI
2007-07-01,la_paz_el_alto,9.606940552646207e-06,25,OMI
2007-08-01,la_paz_el_alto,1.0661574022852729e-05,29,OMI
2007-09-01,la_paz_el_alto,1.0326525374926053e-05,19,OMI
2007-10-01,la_paz_el_alto,9.51133246168101e-06,23,OMI
2007-11-01,la_paz_el_alto,1.2121695725179701e-05,19,OMI
2007-12-01,la_paz_el_alto,8.105669512335477e-06,17,OMI
2008-01-01,la_paz_el_alto,,9,OMI
2008-02-01,la_paz_el_alto,,14,OMI
2008-03-01,la_paz_el_alto,1.1108527698322721e-05,20,OMI
2008-04-01,la_paz_el_alto,1.4793567319739948e-05,21,OMI
2008-05-01,la_paz_el_alto,1.2808858763470183e-05,26,OMI
2008-06-01,la_paz_el_alto,1.3863161490421109e-05,28,OMI
2008-07-01,la_paz_el_alto,1.7858058098430053e-05,29,OMI
2008-08-01,la_paz_el_alto,1.1757021494295328e-05,28,OMI
2008-09-01,la_paz_el_alto,1.0205807434628581e-05,21,OMI
2008-10-01,la_paz_el_alto,1.5862163932841024e-05,20,OMI
2008-11-01,la_paz_el_alto,1.0393407916795144e-05,20,OMI
2008-12-01,la_paz_el_alto,,13,OMI
2009-01-01,la_paz_el_alto,9.587487482084513e-06,17,OMI
2009-02-01,la_paz_el_alto,,12,OMI
2009-03-01,la_paz_el_alto,8.159218629532e-06,17,OMI
2009-04-01,la_paz_el_alto,1.096019483634441e-05,16,OMI
2009-05-01,la_paz_el_alto,1.4902743215706318e-05,19,OMI
2009-06-01,la_paz_el_alto,1.5086824972529918e-05,23,OMI
2009-07-01,la_paz_el_alto,1.2721547680101551e-05,19,OMI
2009-08-01,la_paz_el_alto,1.8646169737931258e-05,22,OMI
2009-09-01,la_paz_el_alto,8.699910215254718e-06,15,OMI
2009-10-01,la_paz_el_alto,,13,OMI
2009-11-01,la_paz_el_alto,,13,OMI
2009-12-01,la_paz_el_alto,,10,OMI
2010-01-01,la_paz_el_alto,,6,OMI
2010-02-01,la_paz_el_alto,,8,OMI
2010-03-01,la_paz_el_alto,,13,OMI
2010-04-01,la_paz_el_alto,,11,OMI
2010-05-01,la_paz_el_alto,1.0542467531926161e-05,19,OMI
2010-06-01,la_paz_el_alto,1.3945265846137174e-05,20,OMI
2010-07-01,la_paz_el_alto,1.1075849726730657e-05,18,OMI
2010-08-01,la_paz_el_alto,1.1412587025291385e-05,20,OMI
2010-09-01,la_paz_el_alto,1.3281671778963897e-05,17,OMI
2010-10-01,la_paz_el_alto,,12,OMI
2010-11-01,la_paz_el_alto,,12,OMI
2010-12-01,la_paz_el_alto,,12,OMI
2011-01-01,la_paz_el_alto,,8,OMI
2011-02-01,la_paz_el_alto,,5,OMI
2011-03-01,la_paz_el_alto,,12,OMI
2011-04-01,la_paz_el_alto,,13,OMI
2011-05-01,la_paz_el_alto,1.5213554698697146e-05,18,OMI
2011-06-01,la_paz_el_alto,1.2317591381742727e-05,16,OMI
2011-07-01,la_paz_el_alto,1.160037758699536e-05,16,OMI
2011-08-01,la_paz_el_alto,1.2785630452530837e-05,16,OMI
2011-09-01,la_paz_el_alto,1.5208943867346078e-05,15,OMI
2011-10-01,la_paz_el_alto,,14,OMI
2011-11-01,la_paz_el_alto,,9,OMI
2011-12-01,la_paz_el_alto,,7,OMI
2012-01-01,la_paz_el_alto,,12,OMI
2012-02-01,la_paz_el_alto,,8,OMI
2012-03-01,la_paz_el_alto,1.2752634298339051e-05,16,OMI
2012-04-01,la_paz_el_alto,,13,OMI
2012-05-01,la_paz_el_alto,1.378293520612686e-05,22,OMI
